# volume of segment of radius r
# r		vol
0       4
1       8
2       16
3       20
4       32
5       32
6       36
7       48
8       56
9       64
10       60
11       64
12       88
13       84
14       96
15       88
16       104
17       108
18       120
19       128
20       116
21       144
22       136
23       140
24       168
25       160
26       168
27       164
28       176
29       192
30       180
31       208
32       200
33       216
34       228
35       200
36       240
37       220
38       264
39       248
40       236
41       264
42       264
43       288
44       284
45       264
46       296
47       292
48       312
49       320
50       328
51       324
52       312
53       336
54       332
55       368
56       344
57       368
58       356
59       376
60       392
61       380
62       392
63       400
64       420
65       400
66       400
67       432
68       444
69       424
70       440
71       428
72       488
73       464
74       472
75       460
76       480
77       504
78       468
79       504
80       512
81       508
82       528
83       504
84       568
85       516
86       552
87       544
88       532
89       600
90       552
91       568
92       580
93       584
94       616
95       572
96       608
97       624
98       608
99       660
